rank,participant,C1,C2,C3,C4,C5,C6,C7,final_score,top10
1,"Преп-Центр",5,5,5,5,5,4,5,98,TRUE
2,"Helpberries",5,5,5,5,5,4,3,96,TRUE
3,"Контракт Фактори",3,1,4,5,4,3,4,64,TRUE
4,"E-Fulfillment",4,1,3,3,5,4,3,63,TRUE
5,"ПроФасовка",4,1,3,4,4,2,4,61,TRUE
6,"Нитропак",2,1,4,4,5,4,2,58,TRUE
7,"Родной Дом",2,1,4,4,5,3,3,57,TRUE
8,"FullMark",2,1,4,4,5,3,2,56,TRUE
9,"LogixPRO",3,1,3,2,4,5,2,54,TRUE
10,"FullBox",1,1,3,4,5,4,2,50,TRUE
11,"WBBK",1,1,3,3,5,4,2,47,FALSE
12,"9Gramm",1,1,3,4,4,3,2,46,FALSE
13,"UpMarket",0,0,4,4,5,5,1,45,FALSE
14,"ТехСкладЛогистик",1,1,3,2,4,5,2,44,FALSE
15,"FulFillYou",1,1,2,2,5,5,2,43,FALSE
