source_id,participant,title,url,source_type,published_or_updated,retrieved_at,used_in_scoring,notes
S001,"Преп-Центр","Кейс: 5 180 единиц строительной химии за 3 дня","https://prep-center.ru/cases/stroitelnaya-himiya-5180-za-3-dnya/","primary_company","2026-08-15","2026-09-18",TRUE,"Прямой профильный кейс"
S002,"Преп-Центр","Фулфилмент для строительной химии","https://prep-center.ru/fulfillment-stroitelnaya-himiya/","primary_company","2026-08-22","2026-09-18",TRUE,"Категория, контроль тары, ограничения"
S003,"Преп-Центр","Фулфилмент для жидких товаров","https://prep-center.ru/fulfillment-zhidkih-tovarov/","primary_company","2026-08-21","2026-09-18",TRUE,"Протечки, ВПП, термоусадка"
S004,"Преп-Центр","FBO-фулфилмент для Ozon и Wildberries","https://prep-center.ru/fulfillment-fbo/","primary_company","2026-08-20","2026-09-18",TRUE,"Полный цикл поставок"
S005,"Преп-Центр","WMS МПФИТ в Преп-Центре","https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/","primary_company","2026-09-11","2026-09-18",TRUE,"WMS и измеримость процессов"
S006,"Helpberries","Кейс производителя лакокрасочных материалов","https://helpberries.ru/kejs-smena-fulfillmenta-lakokrasochnye-materialy","primary_company","","2026-09-18",TRUE,"Прямой профильный кейс ЛКМ"
S007,"Helpberries","Фулфилмент для маркетплейсов","https://helpberries.ru/","primary_company","","2026-09-18",TRUE,"Общие операции и кейсы"
S008,"Helpberries","FBS-фулфилмент для маркетплейсов","https://helpberries.ru/fbs-fulfilment-prodazhi-dlya-marketpleysov","primary_company","","2026-09-18",TRUE,"Маркетплейсы и FBS"
S009,"Контракт Фактори","Фулфилмент для маркетплейсов","https://contract-factory.ru/services/fullfilment/","primary_company","","2026-09-18",TRUE,"Химия, ВПП, термоусадка, микрогофрокартон"
S010,"Контракт Фактори","Контрактное производство бытовой химии","https://contract-factory.ru/services/kontraktnoe-proizvodstvo/","primary_company","","2026-09-18",TRUE,"Химическая специализация"
S011,"Контракт Фактори","Доставка и хранение","https://contract-factory.ru/services/dostavka-i-khranenie/","primary_company","","2026-09-18",TRUE,"Хранение химической продукции"
S012,"E-Fulfillment","Фулфилмент для маркетплейсов","https://www.e-fulfillment.ru/","primary_company","","2026-09-18",TRUE,"FBO/FBS, стройсети, склад"
S013,"E-Fulfillment","Почему E-Fulfillment","https://www.e-fulfillment.ru/why-choose-ef","primary_company","","2026-09-18",TRUE,"Строительные гипермаркеты, паллетный масштаб"
S014,"E-Fulfillment","О компании","https://www.e-fulfillment.ru/about-e-fulfilment","primary_company","","2026-09-18",TRUE,"Логопарк Быково и инфраструктура"
S015,"ПроФасовка","Фасовка строительных смесей","https://uslugi-fasovki.ru/fasovka-stroitelnyh-smesej","primary_company","","2026-09-18",TRUE,"Прямой строительный ассортимент"
S016,"ПроФасовка","Фулфилмент для маркетплейсов","https://uslugi-fasovki.ru/fulfilment-dlya-marketplejsov","primary_company","","2026-09-18",TRUE,"WB/Ozon, приемка и упаковка"
S017,"ПроФасовка","Как мы работаем","https://uslugi-fasovki.ru/usloviya-raboty","primary_company","","2026-09-18",TRUE,"Фасовка, фулфилмент, сборка"
S018,"Нитропак","Фулфилмент для бытовых товаров","https://nitropack.ru/fulfillment-bytovye-tovary","primary_company","","2026-09-18",TRUE,"Жидкости, защита от протечек"
S019,"Нитропак","Прайс и тарифы","https://nitropack.ru/prices","primary_company","2026-08-07","2026-09-18",TRUE,"Открытые тарифы и объемная наценка"
S020,"Родной Дом","Фулфилмент бытовой химии и автохимии","https://skladff.ru/fulfilment-bytovaya-himiya/","primary_company","","2026-09-18",TRUE,"Протечки, термоусадка, Ozon/WB"
S021,"Родной Дом","Фулфилмент косметики и парфюмерии","https://skladff.ru/fulfilment-kosmetika/","primary_company","","2026-09-18",TRUE,"Смежная жидкая категория"
S022,"FullMark","Фулфилмент для WB, Ozon и Яндекс Маркета","https://full-mark.ru/","primary_company","","2026-09-18",TRUE,"Герметичность, защита от протечек"
S023,"LogixPRO","Фулфилмент для Wildberries","https://logixpro.ru/fulfilment-dlya-wildberries/","primary_company","","2026-09-18",TRUE,"WMS Manhattan SCALE"
S024,"LogixPRO","Фулфилмент Южные Врата","https://logixpro.ru/fulfilment-yuzhnye-vrata/","primary_company","","2026-09-18",TRUE,"Полный цикл и складская инфраструктура"
S025,"FullBox","Фулфилмент для маркетплейсов","https://fullbox.ru/","primary_company","","2026-09-18",TRUE,"WMS, WB/Ozon, маркировка"
S026,"FullBox","Склад и упаковочное оборудование","https://fullbox.ru/sklad/","primary_company","","2026-09-18",TRUE,"Термоусадочная и вакуумная линия"
S027,"WBBK","Фулфилмент косметики и парфюмерии","https://www.wbbk.club/fulfillment/kosmetika","primary_company","","2026-09-18",TRUE,"Смежная жидкая категория"
S028,"WBBK","FBO-фулфилмент","https://www.wbbk.club/fulfillment/fbo","primary_company","","2026-09-18",TRUE,"WB/Ozon, WMS, маркировка"
S029,"9Gramm","Цены на услуги фулфилмента","https://9gramm.com/price","primary_company","","2026-09-18",TRUE,"ВПП, термоусадка, визуальный контроль"
S030,"9Gramm","Фулфилмент для Wildberries","https://9gramm.com/fulfilment-dlya-wildberries","primary_company","","2026-09-18",TRUE,"Поставки WB/Ozon"
S031,"UpMarket","Фулфилмент для маркетплейсов","https://www.upmarket.cc/","primary_company","","2026-09-18",TRUE,"WMS, упаковка, прямое исключение ЛКП"
